,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,12332,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19916515.0,19916515.0,False,,1,,,,2025-09-05T13:37:00.000Z,112890.28832928115,54080092969.42443,-5.9109,0.23234556,1.9604,2.5816165,-0.82295082,4.31691506,6.82830193,2248381120864.4526,57.7624,2370696054914.9,,2025-09-05T13:37:00.000Z,,,,,,2025-09-05 09:38:27.727252
1,1027,Ethereum,ETH,ethereum,10512,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,120705220.18652423,120705220.18652423,True,,2,,,,2025-09-05T13:36:00.000Z,4471.934540011446,39668176216.04435,4.2233,0.40018792,1.5803101,2.20281424,24.90754806,75.09321382,78.34242972,539785843311.80457,13.8823,539785843311.8,,2025-09-05T13:36:00.000Z,,,,,,2025-09-05 09:38:27.727252
2,52,XRP,XRP,xrp,1695,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",100000000000.0,59482264023.0,99985819185.0,False,,3,,,,2025-09-05T13:37:00.000Z,2.8709537301084858,5848446377.968662,32.4201,0.11221757,1.07379033,0.09501229,-2.56385291,25.49499275,31.09420423,170770827772.12964,4.3872,287095373010.85,,2025-09-05T13:37:00.000Z,,,,,,2025-09-05 09:38:27.727252
3,825,Tether USDt,USDT,tether,145446,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,168540494840.97333,174732955017.0078,True,,4,,,,2025-09-05T13:36:00.000Z,1.0006105351845085,118789561188.30196,14.0732,0.04747854,-0.00431969,0.04859637,0.07355488,0.06781721,0.00353605,168643394743.08823,4.3371,174839635633.94,,2025-09-05T13:36:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-09-05 09:38:27.727252
4,1839,BNB,BNB,bnb,2700,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing']",,139187579.78,139187579.78,False,,5,,,,2025-09-05T13:37:00.000Z,857.0297029108584,1922291353.2574213,-3.5375,0.50742305,0.94074034,-0.48649062,12.74047881,29.55697701,31.72823063,119287890147.7348,3.0678,119287890147.73,,2025-09-05T13:37:00.000Z,,,,,,2025-09-05 09:38:27.727252
5,5426,Solana,SOL,solana,990,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,541159088.6575476,609042457.4892582,True,,6,525236893.3,110116085078.0788,,2025-09-05T13:37:00.000Z,209.65032442072513,6825834984.534142,30.9857,0.93521582,0.8125861,-0.87609881,27.84436092,38.34218099,37.69952507,113454178500.27881,2.9147,127685948798.62,,2025-09-05T13:37:00.000Z,,,,,,2025-09-05 09:38:27.727252
6,3408,USDC,USDC,usd-coin,31358,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'xlayer-ecosystem']",,72560497085.12363,72560497085.12363,False,,7,60901219650.23,60911254737.0909,,2025-09-05T13:37:00.000Z,1.0001647764514163,15049056767.220442,14.044,0.00994749,0.03855321,0.05739882,0.0436608,0.01736804,0.01371827,72572453346.34631,1.8644,72572453346.35,,2025-09-05T13:37:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-09-05 09:38:27.727252
7,74,Dogecoin,DOGE,dogecoin,1290,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,150814946383.7052,150814946383.7052,True,,8,,,,2025-09-05T13:36:00.000Z,0.22002530498827289,1937488973.0129712,11.5843,0.51176393,1.58322483,1.34788225,9.90647722,29.71300492,16.92576943,33183104574.86476,0.8534,33183104574.86,,2025-09-05T13:36:00.000Z,,,,,,2025-09-05 09:38:27.727252
8,1958,TRON,TRX,tron,1225,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",,94660864492.49411,94660868122.9147,True,,9,94667886298.43,32065426508.53332,,2025-09-05T13:37:00.000Z,0.33871493029273547,950211783.6051855,31.7049,0.24715824,-0.00677132,-0.28455257,1.36613773,18.02515753,21.54418011,32063048118.025223,0.8237,32063049347.7,,2025-09-05T13:37:00.000Z,,,,,,2025-09-05 09:38:27.727252
9,2010,Cardano,ADA,cardano,1576,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",45000000000.0,35740930890.560295,44994598363.527115,False,,10,37997904336.0,32064360490.7581,,2025-09-05T13:37:00.000Z,0.8438454975628659,1094514715.5586526,27.8418,-0.00521838,3.23946448,1.04917474,16.31322007,44.95825634,26.03200947,30159823610.704853,0.7748,37973047390.33,,2025-09-05T13:37:00.000Z,,,,,,2025-09-05 09:38:27.727252
